Days,Date,High,Low
126,2021-05-06,75,62
127,2021-05-07,79,61
128,2021-05-08,75,45
129,2021-05-09,69,53
130,2021-05-10,70,58
131,2021-05-11,70,55
132,2021-05-12,72,59
133,2021-05-13,73,62
134,2021-05-14,77,63
135,2021-05-15,75,56
136,2021-05-16,72,61
137,2021-05-17,70,51
138,2021-05-18,64,53
139,2021-05-19,64,58
140,2021-05-20,73,60
141,2021-05-21,75,61
142,2021-05-22,66,60
143,2021-05-23,70,49
144,2021-05-24,70,52
145,2021-05-25,74,57
146,2021-05-26,76,61
147,2021-05-27,76,66
148,2021-05-28,76,61
149,2021-05-29,78,63
150,2021-05-30,78,62
151,2021-05-31,76,62
152,2021-06-01,74,64
153,2021-06-02,76,66
154,2021-06-03,75,67
155,2021-06-04,78,69
156,2021-06-05,79,68
157,2021-06-06,78,66
158,2021-06-07,79,67
159,2021-06-08,78,65
160,2021-06-09,76,66
161,2021-06-10,82,66
162,2021-06-11,82,66
163,2021-06-12,86,70
164,2021-06-13,91,73
165,2021-06-14,92,77
166,2021-06-15,91,76
167,2021-06-16,90,78
168,2021-06-17,89,78
169,2021-06-18,86,76
170,2021-06-19,88,77
171,2021-06-20,90,82
172,2021-06-21,87,74
173,2021-06-22,82,74
174,2021-06-23,81,70
175,2021-06-24,78,69
176,2021-06-25,77,70
177,2021-06-26,82,70
178,2021-06-27,81,70
179,2021-06-28,82,67
180,2021-06-29,82,64
181,2021-06-30,75,67
182,2021-07-01,71,70
183,2021-07-02,74,67
184,2021-07-03,70,68
185,2021-07-04,67,66
186,2021-07-05,65,68
187,2021-07-06,74,72
188,2021-07-07,80,70
189,2021-07-08,79,73
190,2021-07-09,82,74
191,2021-07-10,86,76
192,2021-07-11,87,68
193,2021-07-12,83,68
194,2021-07-13,79,68
195,2021-07-14,75,71
196,2021-07-15,73,71
197,2021-07-16,71,70
198,2021-07-17,67,65
199,2021-07-18,74,65
200,2021-07-19,75,66
201,2021-07-20,74,66
202,2021-07-21,77,71
203,2021-07-22,78,70
204,2021-07-23,77,65
205,2021-07-24,64,65
206,2021-07-25,58,63
207,2021-07-26,60,62
208,2021-07-27,72,67
209,2021-07-28,75,63
210,2021-07-29,76,63
211,2021-07-30,71,63
212,2021-07-31,73,65
213,2021-08-01,74,68
214,2021-08-02,76,70
215,2021-08-03,76,67
216,2021-08-04,78,72
217,2021-08-05,83,68
218,2021-08-06,81,73
219,2021-08-07,79,71
220,2021-08-08,76,70
221,2021-08-09,75,64
222,2021-08-10,68,68
223,2021-08-11,65,65
224,2021-08-12,67,65
225,2021-08-13,69,66
226,2021-08-14,68,66
227,2021-08-15,66,65
228,2021-08-16,68,65
229,2021-08-17,72,65
230,2021-08-18,67,67
231,2021-08-19,70,67
232,2021-08-20,71,64
233,2021-08-21,72,65
234,2021-08-22,76,67
235,2021-08-23,78,72
236,2021-08-24,75,64
237,2021-08-25,76,70
238,2021-08-26,80,71
239,2021-08-27,81,72
240,2021-08-28,79,69
241,2021-08-29,77,66
242,2021-08-30,79,67
243,2021-08-31,77,65
244,2021-09-01,67,66
245,2021-09-02,63,65
246,2021-09-03,69,66
247,2021-09-04,71,66
248,2021-09-05,77,70
249,2021-09-06,71,63
250,2021-09-07,75,67
251,2021-09-08,72,66
252,2021-09-09,78,61
253,2021-09-10,77,65
254,2021-09-11,78,68
255,2021-09-12,79,60
256,2021-09-13,77,54
257,2021-09-14,79,52
258,2021-09-15,75,55
259,2021-09-16,76,58
260,2021-09-17,77,66
261,2021-09-18,72,65
262,2021-09-19,78,64
263,2021-09-20,74,64
264,2021-09-21,75,59
265,2021-09-22,75,56
266,2021-09-23,71,62
267,2021-09-24,54,59
268,2021-09-25,64,62
269,2021-09-26,68,59
270,2021-09-27,58,55
271,2021-09-28,57,58
272,2021-09-29,65,62
273,2021-09-30,65,53
274,2021-10-01,56,52
275,2021-10-02,61,57
276,2021-10-03,66,60
277,2021-10-04,68,62
278,2021-10-05,72,64
279,2021-10-06,69,57
280,2021-10-07,71,60
281,2021-10-08,70,61
282,2021-10-09,73,62
283,2021-10-10,71,61
284,2021-10-11,59,57
285,2021-10-12,62,53
286,2021-10-13,53,39
287,2021-10-14,58,46
288,2021-10-15,57,46
289,2021-10-16,62,51
290,2021-10-17,66,56
291,2021-10-18,66,47
292,2021-10-19,64,42
293,2021-10-20,64,42
294,2021-10-21,64,56
295,2021-10-22,68,57
296,2021-10-23,69,53
297,2021-10-24,63,54
298,2021-10-25,65,57
299,2021-10-26,68,50
300,2021-10-27,53,39
301,2021-10-28,53,46
302,2021-10-29,64,54
303,2021-10-30,68,56
304,2021-10-31,66,54
305,2021-11-01,64,51
306,2021-11-02,64,48
307,2021-11-03,64,47
308,2021-11-04,63,52
309,2021-11-05,64,54
310,2021-11-06,67,43
311,2021-11-07,68,41
312,2021-11-08,66,57
313,2021-11-09,62,51
314,2021-11-10,65,49
315,2021-11-11,57,50
316,2021-11-12,60,52
317,2021-11-13,63,50
318,2021-11-14,65,39
319,2021-11-15,65,52
320,2021-11-16,65,50
321,2021-11-17,64,48
322,2021-11-18,55,48
323,2021-11-19,54,47
324,2021-11-20,60,52
325,2021-11-21,60,52
326,2021-11-22,55,48
327,2021-11-23,52,54
328,2021-11-24,58,49
329,2021-11-25,51,48
330,2021-11-26,35,37
331,2021-11-27,47,39
332,2021-11-28,48,45
333,2021-11-29,54,44
334,2021-11-30,54,47
335,2021-12-01,58,49
336,2021-12-02,59,52
337,2021-12-03,60,47
338,2021-12-04,57,46
339,2021-12-05,53,44
340,2021-12-06,54,44
341,2021-12-07,57,47
342,2021-12-08,54,46
343,2021-12-09,52,43
344,2021-12-10,48,42
345,2021-12-11,39,35
346,2021-12-12,44,38
347,2021-12-13,53,44
348,2021-12-14,53,54
349,2021-12-15,56,39
350,2021-12-16,40,36
351,2021-12-17,53,38
352,2021-12-18,43,32
353,2021-12-19,43,34
354,2021-12-20,43,37
355,2021-12-21,49,42
356,2021-12-22,52,48
357,2021-12-23,58,51
358,2021-12-24,59,56
359,2021-12-25,53,52
360,2021-12-26,50,49
361,2021-12-27,46,35
362,2021-12-28,40,33
363,2021-12-29,41,38
364,2021-12-30,40,37
365,2021-12-31,31,42
