Index,Height(Inches),Weight(Pounds),Height(cm),Weight(kilos)
255,69,121,176,55
256,68,121,172,55
257,67,124,171,56
258,67,117,170,53
259,68,128,173,58
260,67,117,169,53
261,70,122,178,55
262,68,124,172,56
263,67,109,169,49
264,64,105,162,47
265,68,132,173,60
266,67,127,170,58
267,66,125,168,57
268,71,133,180,60
269,71,122,180,55
270,73,130,186,59
271,64,117,162,53
272,68,126,172,57
273,68,101,172,46
274,67,118,171,54
275,67,137,170,62
276,69,119,175,54
277,69,124,174,56
278,65,125,164,57
279,65,126,165,57
280,67,122,170,55
281,67,133,170,60
282,70,127,178,58
283,68,125,172,57
284,66,103,168,47
285,69,134,175,61
286,66,101,167,46
287,68,146,173,66
288,70,155,178,70
289,70,139,178,63
290,67,116,169,53
291,69,121,176,55
292,67,114,170,52
293,68,133,172,60
294,69,93,176,42
295,68,132,172,60
296,66,118,167,54
297,66,131,168,59
298,67,130,171,59
299,65,129,165,59
300,69,143,176,65
301,69,139,175,63
302,70,131,177,59
303,69,124,175,56
304,68,135,173,61
305,69,124,175,56
306,63,111,161,50
307,66,129,167,59
308,69,128,176,58
309,70,121,177,55
310,67,118,171,54
311,69,123,175,56
312,69,152,174,69
313,68,115,173,52
314,67,122,170,56
315,71,129,181,59
316,69,138,176,63
317,65,144,166,65
318,67,121,169,55
319,68,113,173,51
320,73,149,184,68
321,68,131,173,59
322,67,122,169,56
323,67,134,171,61
324,66,135,168,61
325,67,138,169,63
326,68,113,173,51
327,66,121,167,55
328,69,115,176,52
329,65,110,164,50
330,69,126,176,57
331,67,119,171,54
332,68,119,172,54
333,69,151,176,68
334,68,121,172,55
335,67,118,170,54
336,70,143,178,65
337,70,146,178,66
338,71,127,180,58
339,66,116,168,53
340,65,104,166,47
341,69,138,175,63
342,70,146,177,66
343,70,124,179,56
344,67,124,171,56
345,68,126,172,57
346,68,139,172,63
347,66,122,169,55
348,69,114,175,52
349,68,129,174,59
350,70,138,177,62
351,70,134,178,61
352,68,128,172,58
353,68,116,173,52
354,67,132,171,60
355,68,128,173,58
356,69,126,175,57
357,69,120,176,54
358,70,141,178,64
359,69,137,175,62
360,64,118,163,54
361,66,130,168,59
362,69,152,176,69
363,70,121,177,55
364,68,136,174,62
365,68,130,173,59
366,69,132,176,60
367,68,139,174,63
368,72,168,184,76
369,70,128,179,58
370,66,132,167,60
371,66,123,169,56
372,71,140,180,64
373,67,143,171,65
374,68,137,172,62
375,68,126,173,57
376,69,144,175,65
377,68,123,172,56
378,65,109,164,49
379,66,101,167,46
380,68,116,174,53
381,69,141,175,64
382,68,126,173,57
383,69,134,176,61
384,73,136,184,62
385,66,128,168,58
386,69,123,176,56
387,69,116,175,53
388,66,125,169,56
389,69,126,176,57
390,68,108,172,49
391,69,143,176,65
392,67,119,171,54
393,66,119,169,54
394,69,132,175,60
395,64,119,162,54
396,69,126,175,57
397,66,127,169,57
398,67,114,170,52
399,68,116,172,53
400,67,130,169,59
401,67,125,170,57
402,66,117,167,53
403,70,137,178,62
404,69,149,176,68
405,70,151,178,69
406,65,117,165,53
407,70,138,177,63
408,68,128,172,58
409,64,121,162,55
410,72,144,182,65
411,65,106,165,48
412,65,120,164,55
413,62,109,158,49
414,65,126,166,57
415,68,110,172,50
416,71,134,180,61
417,68,116,173,52
418,67,125,171,57
419,71,116,180,53
420,68,133,172,61
421,67,109,171,49
422,68,134,173,61
423,65,131,166,60
424,69,131,174,59
425,70,127,178,58
426,69,119,176,54
427,67,106,170,48
428,66,134,166,61
429,70,133,178,60
430,68,126,172,57
431,70,126,177,57
432,68,142,172,65
433,71,125,180,57
434,70,122,177,56
435,67,123,170,56
436,68,131,172,60
437,65,124,166,56
438,71,128,180,58
439,71,137,181,62
440,67,118,169,54
441,68,121,173,55
442,68,119,173,54
443,71,127,181,57
444,67,129,170,59
445,71,135,181,61
446,69,146,176,66
447,69,162,176,74
448,69,130,174,59
449,70,132,177,60
450,69,127,175,58
451,68,125,173,57
452,69,135,176,61
453,68,122,173,55
454,68,126,172,57
455,69,146,175,66
456,70,120,177,54
457,67,112,170,51
458,72,139,183,63
459,67,135,171,61
460,66,117,168,53
461,66,124,167,56
462,68,137,173,62
463,71,153,180,69
464,71,126,180,57
465,68,145,171,66
466,70,135,177,61
467,66,109,169,49
468,69,111,174,50
469,67,138,170,63
470,69,120,174,54
471,68,115,173,52
472,70,132,179,60
473,66,94,167,43
474,66,127,167,58
475,68,134,174,61
476,67,125,169,57
477,67,124,170,56
478,70,134,178,61
479,68,134,172,61
480,68,130,174,59
481,70,138,177,63
482,69,127,174,57
483,68,132,173,60
484,68,132,173,60
485,65,118,165,53
486,69,126,176,57
487,69,128,176,58
488,71,142,180,65
489,69,139,175,63
490,66,110,168,50
491,71,132,180,60
492,69,129,175,59
493,71,124,180,56
494,66,127,168,57
495,70,149,177,68
496,67,142,170,64
497,69,127,175,58
498,67,122,170,55
499,67,113,171,51
500,65,134,164,61
501,69,121,174,55
502,68,116,172,53
503,71,129,181,58
504,71,135,179,61
505,72,118,182,54
506,67,106,170,48
507,66,126,168,57
508,65,114,165,52
509,68,130,174,59
510,68,123,173,56
511,69,123,175,56
512,70,126,178,57
513,68,112,174,51
514,68,126,174,57
515,67,120,170,54
516,71,133,179,60
517,69,133,176,60
518,68,117,172,53
519,65,102,165,46
520,69,128,176,58
521,69,134,175,61
522,68,128,172,58
523,68,128,173,58
524,66,139,167,63
525,65,114,165,52
526,68,148,174,67
527,67,133,169,60
528,69,133,176,60
529,66,105,167,48
530,66,128,168,58
531,69,131,176,59
532,67,129,171,58
533,66,123,167,56
534,69,157,176,71
535,67,121,169,55
536,69,148,175,67
537,68,117,172,53
538,70,132,177,60
539,68,118,173,54
540,71,124,181,56
541,66,130,169,59
542,66,123,168,56
543,68,108,173,49
544,68,119,173,54
545,67,126,170,57
546,72,149,182,67
547,66,150,168,68
548,69,127,175,58
549,69,129,175,58
550,65,118,165,54
551,66,125,168,57
552,71,149,181,68
553,68,107,172,49
554,69,134,175,61
555,68,125,173,57
556,68,113,172,51
557,68,128,172,58
558,70,134,177,61
559,68,139,173,63
560,69,126,176,57
561,70,130,179,59
562,68,134,172,61
563,68,106,172,48
564,68,127,173,58
565,67,122,170,55
566,72,151,182,68
567,64,116,163,53
568,68,125,173,57
569,70,132,178,60
570,70,129,178,59
571,67,129,170,59
572,70,148,178,67
573,69,105,175,48
574,68,111,173,50
575,69,119,176,54
576,68,123,174,56
577,66,125,167,57
578,70,136,177,62
579,66,116,167,53
580,69,125,175,57
581,69,133,175,60
582,67,138,171,63
583,70,124,179,56
584,70,137,178,62
585,65,115,165,52
586,69,133,176,60
587,69,143,174,65
588,66,135,167,61
589,64,123,163,56
590,70,154,178,70
591,68,126,174,57
592,68,135,173,61
593,68,135,172,61
594,66,118,168,54
595,70,121,177,55
596,66,132,167,60
597,67,139,170,63
598,67,111,171,50
599,71,154,179,70
600,70,124,178,56
601,66,135,167,61
602,72,138,184,63
603,70,149,178,68
604,68,127,172,58
605,66,118,168,53
606,70,149,178,68
607,68,128,173,58
608,69,130,175,59
609,67,126,169,57
610,70,129,178,58
611,66,124,167,56
612,69,151,174,69
613,65,107,165,49
614,70,146,177,66
615,66,122,169,55
616,70,131,179,59
617,70,136,178,62
618,70,124,178,56
619,67,132,171,60
620,68,117,173,53
621,68,130,172,59
622,65,122,165,56
623,66,115,169,52
624,67,117,170,53
625,66,139,167,63
626,67,123,170,56
627,66,133,169,60
628,70,143,178,65
629,70,133,178,60
630,65,99,164,45
631,68,122,173,56
632,67,105,171,47
633,71,143,180,65
634,68,131,173,59
635,71,144,181,65
636,68,142,173,65
637,65,108,166,49
638,66,106,169,48
639,71,125,181,57
640,69,106,175,48
641,66,119,168,54
642,70,137,177,62
643,71,146,181,66
644,66,130,168,59
645,66,108,168,49
646,68,121,172,55
647,67,136,169,62
648,70,138,178,62
649,71,124,181,56
650,69,129,174,58
651,69,134,175,61
652,68,107,173,48
653,66,113,168,51
654,66,126,168,57
655,71,140,181,64
656,68,143,172,65
657,71,146,181,66
658,68,128,173,58
659,67,134,171,61
660,69,140,175,64
661,68,146,174,66
662,67,132,170,60
663,67,122,170,55
664,66,131,167,60
665,65,130,166,59
666,68,126,173,57
667,71,153,179,69
668,66,125,167,56
669,70,135,177,61
670,68,115,173,52
671,70,118,178,54
672,68,125,174,57
673,69,134,176,61
674,68,129,172,59
675,71,133,180,60
676,71,147,179,67
677,72,155,182,70
678,68,126,174,57
679,69,134,176,61
680,70,134,179,61
681,67,129,171,58
682,68,123,171,56
683,69,112,174,51
684,67,112,170,51
685,72,148,184,67
686,69,137,174,62
687,71,133,180,60
688,66,117,168,53
689,68,125,174,57
690,67,122,171,55
691,68,123,172,56
692,67,137,171,62
693,68,121,172,55
694,69,151,176,68
695,70,142,178,65
696,71,135,179,61
697,66,134,169,61
698,68,136,172,62
699,66,95,167,43
700,69,120,176,54
701,71,153,179,69
702,67,140,171,64
703,68,145,174,66
704,67,119,170,54
705,66,124,167,56
706,66,111,168,50
707,68,111,173,51
708,72,139,183,63
709,67,133,170,60
710,69,134,176,61
711,65,113,164,51
712,67,125,170,57
713,69,123,175,56
714,71,142,179,64
715,70,116,178,53
716,66,131,167,59
717,67,131,170,60
718,66,127,168,58
719,69,122,176,56
720,67,115,169,52
721,68,127,173,58
722,70,143,177,65
723,64,125,163,57
724,66,109,168,49
725,72,139,184,63
726,66,102,168,46
727,71,144,181,65
728,63,83,160,38
729,71,145,180,66
730,68,135,173,61
731,65,135,165,61
732,65,111,166,51
733,69,120,175,54
734,65,96,165,43
735,66,117,168,53
736,66,127,168,58
737,69,145,176,66
738,68,123,174,56
739,70,134,178,61
740,69,125,174,57
741,68,136,172,62
742,65,121,164,55
743,65,125,164,57
744,66,134,167,61
745,66,125,167,56
746,67,136,171,62
747,72,144,183,65
748,69,131,175,59
749,68,127,172,58
750,70,141,179,64
751,64,107,162,49
752,66,122,168,55
753,66,112,168,51
754,70,138,178,63
755,70,143,177,65
756,66,114,168,52
757,68,128,173,58
758,67,135,171,61
759,69,140,175,64
760,68,122,173,55
761,66,111,167,51
762,69,135,176,61
763,70,133,179,60
764,71,118,180,53
765,71,135,180,61
766,67,152,169,69
767,70,129,178,58
768,67,120,170,55
769,71,126,182,57
770,70,128,177,58
771,69,136,176,62
772,67,116,169,53
773,64,127,163,58
774,68,126,173,57
775,70,121,178,55
776,71,123,180,56
777,65,119,165,54
778,67,133,170,60
779,69,133,176,60
780,68,124,174,56
781,66,132,168,60
782,72,143,183,65
783,66,130,167,59
784,70,129,178,58
785,65,113,165,51
786,67,122,171,55
787,66,118,169,54
788,67,130,171,59
789,68,112,172,51
790,68,142,172,65
791,64,123,162,56
792,66,123,169,56
793,72,119,183,54
794,68,139,173,63
795,68,141,173,64
796,68,120,172,54
797,69,136,176,62
798,67,118,170,54
799,67,138,170,62
800,70,129,177,59
801,67,123,171,56
802,68,115,173,52
803,68,130,173,59
804,69,136,176,62
805,69,128,175,58
806,71,139,180,63
807,64,109,163,50
808,71,125,181,57
809,72,136,183,62
810,66,120,168,55
811,68,116,172,53
812,67,116,171,52
813,73,142,185,64
814,66,135,166,61
815,69,135,175,61
816,65,108,166,49
817,69,125,174,57
818,71,143,181,65
819,67,128,170,58
820,68,128,172,58
821,67,104,170,47
822,68,156,173,71
823,66,105,168,48
824,64,122,163,55
825,67,132,171,60
826,65,118,164,54
827,69,135,175,61
828,70,141,179,64
829,64,112,163,51
830,67,128,170,58
831,68,130,173,59
832,68,128,173,58
833,68,143,172,65
834,67,123,171,56
835,66,118,167,53
836,70,131,177,59
837,72,129,183,59
838,69,145,176,66
839,67,116,171,53
840,69,117,176,53
841,67,142,170,64
842,68,132,172,60
843,68,135,173,61
844,66,127,168,58
845,71,130,181,59
846,68,135,172,61
847,70,121,178,55
848,73,143,184,65
849,67,125,169,57
850,69,120,174,55
851,66,139,169,63
852,69,132,175,60
853,69,131,176,59
854,68,130,173,59
855,68,123,174,56
856,71,138,180,62
857,70,137,179,62
858,68,118,172,54
859,69,116,176,53
860,68,125,173,57
861,68,121,174,55
862,66,105,168,48
863,71,145,181,66
864,65,108,166,49
865,66,130,168,59
866,68,118,172,53
867,69,136,176,62
868,69,128,175,58
869,69,151,175,69
870,68,112,174,51
871,72,157,182,71
872,69,138,175,63
873,66,110,168,50
874,72,140,184,63
875,67,125,170,57
876,66,131,167,59
877,70,151,177,69
878,66,109,168,49
879,66,106,169,48
880,69,143,175,65
881,68,115,173,52
882,68,124,172,56
883,71,139,181,63
884,67,116,170,53
885,71,147,180,66
886,71,154,181,70
887,71,138,180,62
888,66,126,168,57
889,68,140,173,63
890,64,126,163,57
891,67,114,170,52
892,71,130,179,59
893,65,116,166,53
894,69,139,176,63
895,68,127,173,58
896,67,126,171,57
897,68,114,172,51
898,70,123,178,56
899,64,123,164,56
900,70,128,177,58
901,67,128,169,58
902,68,110,173,50
903,66,128,168,58
904,67,118,170,54
905,67,130,171,59
906,68,131,173,59
907,67,105,170,48
908,69,123,175,56
909,70,138,177,63
910,67,108,169,49
911,66,141,169,64
912,71,154,181,70
913,67,135,169,61
914,64,110,163,50
915,65,117,165,53
916,67,124,170,56
917,69,125,175,57
918,71,133,181,60
919,71,123,181,56
920,70,135,177,61
921,67,111,170,51
922,67,117,171,53
923,72,143,183,65
924,67,100,171,45
925,68,128,174,58
926,67,137,171,62
927,69,145,176,66
928,69,127,175,57
929,66,128,167,58
930,66,123,169,56
931,66,133,168,60
932,69,117,176,53
933,71,144,180,65
934,68,133,172,60
935,65,124,166,56
936,67,113,169,51
937,67,124,170,56
938,68,134,172,61
939,64,128,163,58
940,67,121,170,55
941,66,123,167,56
942,68,125,172,57
943,69,125,174,57
944,66,117,168,53
945,67,130,170,59
946,69,124,176,56
947,69,138,174,62
948,69,131,176,59
949,68,142,172,64
950,66,126,167,57
951,66,104,168,47
952,68,117,172,53
953,68,132,172,60
954,70,125,177,57
955,66,130,168,59
956,70,130,178,59
957,65,132,165,60
958,69,142,176,65
959,70,128,177,58
960,71,153,182,70
961,69,127,176,57
962,69,114,175,52
963,70,134,177,61
964,69,128,174,58
965,67,126,171,57
966,66,121,168,55
967,66,127,168,57
968,71,133,180,60
969,67,126,171,57
970,65,121,166,55
971,69,130,176,59
972,69,130,175,59
973,72,123,184,56
974,68,137,173,62
975,68,128,174,58
976,67,134,171,61
977,69,114,175,52
978,67,136,169,62
979,65,123,165,56
980,68,119,172,54
981,73,134,185,61
982,71,124,180,56
983,68,131,173,59
984,67,125,171,57
985,66,129,169,59
986,68,122,172,55
987,70,126,177,57
988,68,135,173,61
989,67,132,170,60
990,67,104,171,47
991,67,116,169,53
992,67,124,170,56
993,70,150,177,68
994,70,135,177,61
995,65,112,166,51
996,68,137,173,62
997,72,133,184,60
998,71,126,180,57
999,65,141,166,64
1000,68,136,172,62
1001,70,135,178,61
1002,67,122,171,55
1003,66,128,169,58
1004,70,131,177,59
1005,69,132,175,60
1006,64,109,162,49
1007,68,115,174,52
1008,68,134,173,61
1009,71,136,180,62
1010,69,148,175,67
1011,66,124,169,56
1012,69,121,174,55
1013,66,116,168,53
1014,70,124,177,56
1015,67,119,171,54
1016,70,119,177,54
1017,68,125,174,57
1018,68,131,174,59
1019,65,118,166,54
1020,67,110,170,50
1021,70,140,178,64
1022,67,122,171,55
1023,67,98,169,45
1024,67,118,171,53
1025,68,137,173,62
1026,69,149,175,68
1027,68,124,172,56
1028,69,134,176,61
1029,65,117,166,53
1030,68,124,174,56
1031,65,118,166,53
1032,68,137,174,62
1033,71,129,181,59
1034,69,142,176,65
1035,67,128,169,58
1036,69,115,176,52
1037,68,120,174,54
1038,68,122,172,55
1039,69,143,174,65
1040,66,110,168,50
1041,69,122,175,55
1042,68,125,172,57
1043,68,119,173,54
1044,68,132,172,60
1045,70,133,177,60
1046,71,161,180,73
1047,65,119,164,54
1048,68,139,173,63
1049,68,125,172,57
1050,69,136,176,62
1051,68,116,172,53
1052,68,139,172,63
1053,68,138,173,63
1054,70,145,178,66
1055,64,109,162,50
1056,66,127,167,58
1057,69,125,176,56
1058,67,115,171,52
1059,69,133,175,60
1060,69,125,175,57
1061,70,128,177,58
1062,67,118,169,53
1063,68,113,173,51
1064,64,126,163,57
1065,66,119,167,54
1066,67,125,170,57
1067,69,125,176,57
1068,70,146,177,66
1069,66,117,168,53
1070,69,133,176,60
1071,68,115,174,52
1072,69,123,176,56
1073,69,131,176,59
1074,68,119,174,54
1075,66,134,169,61
1076,70,129,178,58
1077,70,139,178,63
1078,68,101,173,46
1079,70,141,178,64
1080,68,135,174,61
1081,66,130,169,59
1082,72,139,182,63
1083,71,135,180,61
1084,68,130,173,59
1085,70,129,178,59
1086,66,129,168,59
1087,70,113,177,51
1088,68,126,173,57
1089,70,118,178,54
1090,65,123,166,56
1091,68,130,174,59
1092,65,114,164,52
1093,68,116,173,53
1094,69,138,174,63
1095,68,112,173,51
1096,69,137,175,62
1097,68,125,173,57
1098,69,135,176,61
1099,63,114,161,52
1100,69,122,176,55
1101,66,129,167,59
1102,68,130,172,59
1103,66,140,167,64
1104,67,121,169,55
1105,69,129,176,59
1106,69,137,176,62
1107,68,145,172,66
1108,70,140,177,64
1109,71,124,179,56
1110,67,136,169,62
1111,69,128,176,58
1112,70,144,178,65
1113,68,132,172,60
1114,69,136,176,61
1115,68,151,172,69
1116,68,125,172,57
1117,70,135,179,61
1118,71,137,180,62
1119,70,138,177,63
1120,67,114,170,52
1121,69,142,174,64
1122,64,111,164,50
1123,66,126,167,57
1124,65,133,166,60
1125,71,145,179,66
1126,67,108,169,49
1127,67,124,171,56
1128,67,129,170,59
1129,68,131,172,60
1130,68,112,172,51
1131,67,112,169,51
1132,68,140,172,64
1133,70,126,177,57
1134,63,114,159,52
1135,65,114,164,52
1136,68,117,173,53
1137,66,138,169,63
1138,70,122,178,56
1139,65,133,164,60
1140,67,124,171,56
1141,72,144,183,65
1142,67,115,169,52
1143,66,117,167,53
1144,71,140,181,63
1145,69,133,174,60
1146,65,120,165,54
1147,67,123,170,56
1148,70,133,179,60
1149,68,121,172,55
1150,66,130,168,59
1151,69,137,175,62
1152,69,131,174,59
1153,67,133,170,61
1154,68,136,173,62
1155,65,131,165,60
1156,71,126,179,57
1157,68,115,173,52
1158,69,130,175,59
1159,67,132,170,60
1160,70,136,178,62
1161,65,120,166,55
1162,69,129,175,59
1163,74,150,189,68
1164,64,120,163,55
1165,68,132,172,60
1166,69,132,176,60
1167,64,120,164,54
1168,69,137,175,62
1169,68,148,174,67
1170,66,146,169,66
1171,70,125,178,57
1172,67,128,171,58
1173,67,126,170,57
1174,69,110,174,50
1175,67,108,170,49
1176,70,134,178,61
1177,67,135,170,61
1178,69,140,175,63
1179,67,127,171,58
1180,66,135,167,61
1181,66,100,167,45
1182,67,129,170,59
1183,67,129,170,59
1184,63,104,161,47
1185,68,116,174,52
1186,64,105,164,48
1187,64,131,161,59
1188,67,129,170,59
1189,66,103,166,47
1190,72,133,182,60
1191,69,146,175,66
1192,71,141,180,64
1193,69,132,175,60
1194,67,119,171,54
1195,66,133,168,61
1196,68,135,172,61
1197,69,130,174,59
1198,68,137,173,62
1199,72,134,182,61
1200,69,128,174,58
1201,71,130,181,59
1202,67,130,171,59
1203,68,128,172,58
1204,64,134,163,61
1205,70,141,178,64
1206,67,115,169,52
1207,69,136,176,62
1208,70,143,177,65
1209,68,143,172,65
1210,68,115,173,52
1211,72,149,183,68
1212,67,132,171,60
1213,65,127,166,58
1214,66,103,167,47
1215,69,125,175,57
1216,65,131,166,59
1217,68,124,173,56
1218,70,141,177,64
1219,69,124,176,56
1220,70,133,178,60
1221,69,130,174,59
1222,65,107,165,48
1223,68,109,172,49
1224,67,110,169,50
1225,68,124,173,56
1226,69,132,176,60
1227,70,137,178,62
1228,68,116,173,53
1229,68,118,173,53
1230,69,117,175,53
1231,67,115,170,52
1232,68,130,173,59
1233,69,149,175,68
1234,71,126,180,57
1235,68,115,173,52
1236,69,159,176,72
1237,68,141,174,64
1238,68,130,174,59
1239,69,137,176,62
1240,66,123,168,56
1241,67,118,170,54
1242,65,102,166,46
1243,68,131,174,59
1244,67,145,170,66
1245,63,100,159,45
1246,69,120,175,55
1247,71,144,181,65
1248,69,115,175,52
1249,68,142,173,64
1250,64,115,164,52
1251,66,122,168,55
1252,69,119,175,54
1253,71,135,179,61
1254,67,116,171,53
1255,66,123,168,56
1256,69,133,176,60
1257,71,136,180,62
1258,66,124,167,56
1259,65,116,166,53
1260,69,133,175,60
1261,68,138,172,63
1262,66,133,168,60
1263,69,114,175,52
1264,65,138,166,62
1265,68,132,172,60
1266,70,137,178,62
1267,70,135,177,61
1268,68,114,172,52
1269,66,133,167,60
1270,71,134,181,61
1271,66,107,168,48
1272,65,95,165,43
1273,66,114,167,52
1274,67,126,170,57
1275,68,127,173,57
1276,66,111,168,50
1277,71,132,181,60
1278,70,134,178,61
1279,71,144,180,65
1280,68,130,173,59
1281,69,107,175,48
1282,68,122,173,55
1283,69,118,177,54
1284,67,107,170,48
1285,68,128,172,58
1286,68,127,172,58
1287,65,103,164,47
1288,70,128,177,58
1289,69,140,174,63
1290,71,133,179,60
1291,67,120,169,55
1292,64,102,162,46
1293,66,134,169,61
1294,67,121,170,55
1295,67,108,170,49
1296,73,146,184,66
1297,68,115,172,52
1298,69,125,174,57
1299,66,114,167,52
1300,67,126,169,57
1301,66,124,169,56
1302,67,121,170,55
1303,69,124,175,56
1304,70,130,178,59
1305,70,137,178,62
1306,68,127,172,58
1307,66,118,169,54
1308,68,120,171,54
1309,68,134,173,61
1310,66,120,168,54
1311,70,140,179,64
1312,68,139,173,63
1313,66,105,168,48
1314,68,140,173,64
1315,65,140,166,63
1316,67,118,170,54
1317,70,122,178,55
1318,68,130,173,59
1319,70,138,178,63
1320,67,120,170,54
1321,71,142,181,64
1322,64,128,164,58
1323,69,123,174,56
1324,70,136,178,61
1325,70,159,178,72
1326,66,103,169,47
1327,65,123,166,56
1328,67,119,170,54
1329,66,140,168,63
1330,70,124,178,56
1331,71,133,182,60
1332,67,116,170,53
1333,73,163,184,74
1334,69,131,174,59
1335,67,125,169,57
1336,68,124,174,56
1337,67,119,169,54
1338,70,135,177,61
1339,70,140,178,63
1340,68,120,172,55
1341,67,113,170,51
1342,68,116,174,52
1343,68,129,173,58
1344,65,97,166,44
1345,68,123,173,56
1346,69,129,176,59
1347,66,129,169,58
1348,66,133,168,60
1349,68,130,172,59
1350,73,139,185,63
1351,71,139,179,63
1352,67,106,171,48
1353,69,135,174,61
1354,72,147,183,67
1355,65,109,164,49
1356,66,129,169,58
1357,72,148,183,67
